Job ID,Employer,First Seen Date,Title,Occupation Name,City,State,Job_Type,Education,Description,approx_tokens
66525,Nvidia Corporation,2023-07-17,"Principal Distributed Systems Engineer, AI infrastructure","Software Developers, Applications",Multiple locations,,"Full-Time,Permanent",Master's Degree,"We are now looking for a Principal Distributed Systems Engineer. NVIDIA is hiring principal distributed systems engineers and architects to develop and scale its AI and deep learning platforms. Together, we will build the software 2.0 cloud platform for one of the most exciting problems of our time: autonomous vehicles! Then we will apply it to other AI applications such as robotics, virtual reality, healthcare, genomics, data science, and more. What you'll be doing: - Architect and build scalable and distributed services that will help power the AI infrastructure for deep learning platforms. - Design and build infrastructure and microservices that help index, mine, transform, and compose PB sized deep learning datasets. - Design the next generation of dataset management services for real and synthetic / simulated datasets. - Enable smart data selection - one of the key ingredients for successful machine learning! - Be a technical leader on various projects across the platform, and be a hands-on major contributor of the entire platform's architecture. - Collaborate with multiple AI product teams to understand their data and compute requirements (cars, healthcare, etc.) and build support infrastructure that improve productivity. - Collaborate with AI applied researchers and leaders to build future-proof infrastructure. What we need to see: - Masters or equivalent experience in Computer Architecture, Computer Science, Electrical Engineering or related field with 14+ years of Work or Research Experience in distributed systems development and design. - Strong programming background that incorporates methodologies like data structures, design patterns, OOP, and test driven development. - Solid technical foundation and a deep understanding of cloud technologies, distributed compute systems, and distributed systems and microservices architecture. - Advanced programming skills to build distributed storage and compute systems, backend services, microservices, and web technologies. - Strong programming skills with hands-on coding expertise. - A specialist programmer in Go and C/C++. - Ability to craft technical design requirements and architecture in an agile environment to deliver production grade at scale systems. - A track record of successful technical leadership and large-scale architecture that impacted critical projects. - Switch effectively between long-term strategic management and near-term tactical management. - Highly motivated with strong interpersonal skills, you have the ability to work successfully with multi-functional teams, principles and architects and coordinate effectively across organizational boundaries and geographies. Ways to stand out from the crowd: - Advanced programming expertise in Scala. - Experience with Kubernetes and Docker. - Enthusiasm to collaborate and build supporting development infrastructure like CI/CD and DevOps. - A go getter attitude to dive deeper and understand technical requirements. With highly competitive salaries and a comprehensive benefits package, Nvidia is widely considered to be one of the technology industry's most desirable employers. We have some of the most brilliant and talented people in the world working with us and our engineering teams are growing fast in some of the hottest state of the art fields: Deep Learning, Artificial Intelligence, and Autonomous Vehicles. If you're a creative and autonomous computer scientist with a real passion for distributed systems and parallel computing, we want to hear from you. The base salary range is $268,000 - $414,000. Your base salary will be determined based on your location, experience, and the pay of employees in similar positions. You will also be eligible for equity and benefits . NVIDIA is committed to fostering a diverse work environment and proud to be an equal opportunity employer. As we highly value diversity in our current and future employees, we do not discriminate (including in our hiring and promotion practices) on the basis of race, religion, color, national origin, gender, gender expression, sexual orientation, age, marital status, veteran status, disability status or any other characteristic protected by law. #deeplearning",1052
79209,Target Corporation,2023-06-30,Senior Engineer,"Software Developers, Applications",Minneapolis,Minnesota,"Full-Time,Permanent",Bachelor's Degree,"The pay range is: $130,998.00 - $150,800.00 In addition to your salary, Target cares about and invests in you as a team member, so that you can take care of yourself and your family. Target offers eligible team members and their dependents comprehensive health benefits and programs, which may include medical, vision, dental, life insurance and more, to help you and your family take care of your whole selves. Other benefits for eligible team members include 401(k), employee discount, short term disability, long term disability, paid sick leave, paid national holidays, and paid vacation. Find competitive benefits from financial and education to well-being and beyond at https://corporate.target.com/careers/benefits . JOB POSITION : Senior Engineer LOCATION : 7000 Target Parkway North, Brooklyn Park, MN 55445 DUTIES : Design and develop software applications and apply appropriate software engineering patterns to build robust and scalable systems; build, test, and deploy scalable, highly available and modular software products; virtualize servers for test environments and development environment needs; configure and implement automation; implement report automation and automated data exports; automate jobs and data file processing; build and manage development and testing environments, assisting developers in debugging application issues; and participate in building tools and processes to support the system. Tools/technologies used: Java, J2EE, Oracle, MongoDB, Gradle, REST API, Spring MVC, DevOps, CI/CD (continuous integration/continuous delivery), Docker, GitHub, Maven, IntelliJ IDEA, Windows Server, Unix Servers, Unix scripting, SQL, job scheduling. Position includes a telecommute benefit within commuting distance to Minneapolis-area Target office, as directed. REQUIREMENTS : This position requires a Bachelor’s degree in Computer Science, Computer Engineering, Information Technology, or a closely related field and at least five (5) years of post-baccalaureate, progressive experience in systems administration/infrastructure support (any title) performing job scheduling and monitoring, and including at least three (3) years of experience installing and configuring applications, testing for performance, alerting software on servers, applying server patches and upgrades, and using Java, Oracle, Windows Server, Unix Servers, Unix scripting, and SQL. Position includes a telecommute benefit within commuting distance to Minneapolis-area Target office, as directed. APPLY ONLINE at jobs.target.com, Job ID: R0000291873 or SEND RESUME to: Target.Recruitment@Target.com and reference R0000291873 Americans with Disabilities Act (ADA) Target will provide reasonable accommodations (such as a qualified sign language interpreter or other personal assistance) with the application process upon your request as required to comply with applicable laws. If you have a disability and require assistance in this application process, please visit your nearest Target store or Distribution Center or reach out to Guest Services at 1-800-440-0680 for additional information.",774
256,ACCENTURE,2023-07-09,Oracle Cloud Order Management Software Development Engineer,"Software Developers, Applications",Hyderabad,Telangana,"Full-Time,Permanent",Bachelor's Degree,"Job Description About Accenture: Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Technology and Operations services and Accenture Song-all powered by the world's largest network of Advanced Technology and Intelligent Operations centers. Our 699,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners and communities. Visit us at accenture.com - Project Role : Software Development Engineer - Project Role Description : Analyze, design, code and test multiple components of application code across one or more clients. Perform maintenance, enhancements and/or development work. - Management Level : 11 - Work Experience : 2.5-4 years - Work location : Hyderabad - Must Have Skills : - Good To Have Skills : - Job Requirements : - Key Responsibilities : 1 Adapt at creating business process models based on requirements 2 Adapt at mapping industry trends and best practices to the client unique requirements and process to determine applicable fit - Technical Experience : 1 Must have experience in Oracle Cloud Order Management module 2 Good to have knowledge of functional configurations in OM Cloud - Professional Attributes : 1 Excellent Communication, interpersonal skills - Educational Qualification : Minimum 15 years full time education - Additional Information : NA Qualifications 15 years of full time education",421
73185,Qualcomm,2021-09-03,"Sr. Software Engineer, Game Developer Technologies","Software Developers, Applications",Vancouver,Washington,"Full-Time,Permanent",Bachelor's Degree,"> Company: Qualcomm Canada ULC Job Area: Software Gaming Engineering General Summary Qualcomm's Gaming group is seeking an experienced engineer to work directly with PC game developers around the world driving game optimizations to create best-in-class experiences for the Snapdragon chipset. This is a unique opportunity to work with cutting-edge pre-commercial devices and technologies and contribute to the future of PC gaming. The position is a multi-disciplinary role where you will be responsible for collaborating with game developers and various partners to help optimize CPU, GPU, and the overall system performance of legacy and new games for Snapdragon. In addition to direct engagement with developers you will work to evangelize best practices and optimization strategies within the game development community. At the heart of the Qualcomm Gaming group, we are passionate about next generation gaming technologies and delivering exceptional gaming experiences. Our highly creative teams are full of veteran game developers, artists, game engine experts and graphics enthusiast who work on our latest GPU and gaming hardware innovations around mobile, PC, and XR. Preferred Qualifications - 3+ years of professional experience - Solid knowledge C/C++ - Solid knowledge of OpenGL, DirectX, or Vulkan - Solid 3D graphics related mathematics background - Understanding of modern PC, and console game engine rendering pipelines - Strong CPU and GPU performance analysis skills - Familiarity with 3D graphics profilers and debuggers such as RenderDoc, Pix, NSight, etc. - Familiarity with commercial game engines such as Unreal, and Unity - Comfortable working with unfamiliar, large multi-million-line code bases - Experience creating technical training content such as frameworks, samples, tutorials, videos, etc. - Experience developing, profiling, and optimizing modern rendering algorithms - Excellent written and verbal communication skills - Willingness to travel both domestic and internationally Physical Requirements Monitors and utilizes computers and test equipment for more than 6 hours a day. Continuous communication which includes the comprehension of information with colleagues, customers, and vendors both in person and remotely. Minimum Qualifications Education: Bachelors - Computer Science, Bachelors - Engineering, Bachelors - Game Development, Bachelors - Mathematics Work Experiences: 2+ years of Software Engineering or related work experience Certifications: Skills: Preferred Qualifications Education: Work Experiences: Certifications: Skills: 3 D Rendering, Animation, Application Programming Interface (API), Programming Languages, Unity Game Development Applicants : If you need an accommodation, during the application/hiring process, you may request an accommodation by sending email to accommodationsupport To all Staffing and Recruiting Agencies : Our Careers Site is only for individuals seeking a job at Qualcomm. Staffing and recruiting agencies and individuals being represented by an agency are not authorized to use this site or to submit profiles, applications or resumes, and any such submissions will be considered unsolicited. Qualcomm does not accept unsolicited resumes or applications from agencies. Please do not forward resumes to our jobs alias, Qualcomm employees or any other company location. Qualcomm is not responsible for any fees related to unsolicited resumes/applications. If you would like more information about this role, please contact Qualcomm Careers . We are engineers, scientists and business strategists. We are from many different countries and speak many different languages. We come from diverse cultures and have unique perspectives. Together, we focus on a single goalwe invent breakthrough technologies that transform how the world connects, computes, and communicates. Employment Notices for US-based Job Postings Equal Employment Opportunity 'EEO is the Law' Poster Supplement Pay Transparency NonDiscrimination Provision Employee Polygraph Protection Act Family Medical Leave Act Rights of Pregnant Employees Discrimination and Harassment California Family Rights Act Prepare and succeed Qualcomm Interview FAQs Employment Fraud Alert We have received reports of employment scams that seek financial or personal information from job candidates. Please note these communications are fraudulent. Click here to view our Employment Fraud Alert.",1106
60458,Lockheed Martin,2022-12-07,Software Engineer,"Software Developers, Applications",Palmdale,California,"Part-Time,Full-Time,Permanent",Bachelor's Degree,"experience: Not Specified Job ID: 604273BR Date posted: dec.. 06, 2022 Locations: Palmdale, California COVID-19 continues to significantly impact our employees, families and communities. With employee health and safety as our top priority, and as a federal contractor, Lockheed Martin is taking action to address the increased risk and uncertainty COVID-19 variants pose in the workplace and ensuring we meet our commitments to national security. To uphold safety for all employees, we will continue to request vaccination status for all Lockheed Martin employees including new hires. All current and newly hired employees are required to follow onsite safety measures based upon the COVID-19 Community Level at the specific work location. Description: By bringing together people that use their passion for purposeful innovation, at Lockheed Martin we keep people safe and solve the world's most complex challenges. Our people are some of the greatest minds in the industry and truly make Lockheed Martin a great place to work. With our employees as our priority, we provide diverse career opportunities designed to propel development and boost agility. Our flexible schedules, competitive pay, and comprehensive benefits enable our employees to live a healthy, fulfilling life at and outside of work. At Lockheed Martin, we place an emphasis on empowering our employees by fostering innovation, integrity, and exemplifying the epitome of corporate responsibility. Your Mission is Ours. Lockheed Martin Aeronautics in Palmdale, CA is seeking a 2023 Summer Intern Software Engineer to join the Skunk Works team. In this role, you will join Palmdale Advanced Development Programs Computational Electromagnetics (CEM) Codes and Tools team to develop, test, deploy, and maintain CEM codes and tools. You will design and review scientific software test requirements, and test documentation; benchmark new code components and algorithms; and write scientific software documentation and training tools. The successful candidate will work well in a team environment, have excellent writing and presentation skills, have effective interpersonal skills, and be able to work effectively under a deadline. Must be a US Citizen; this position will require a government security clearance. This position is located at a facility that requires special access. Basic Qualifications: • Pursuing a bachelor's degree in a discipline such as Computational Mathematics, Computer Science, Electrical Engineering or Physics • Proficiency with Modern Fortran • Must be a U.S. Citizen; this position will require a government security clearance. This position is located at a facility that requires special access. Desired Skills: • Background in Computational Electromagnetics (as a user or developer), or other scientific computing experience • Good organization skills to balance and prioritize work, and ability to multitask • Familiarity with High Performance Computing (HPC) environments and related technologies • Experience with C/C++ or Python • Experience developing software in a Linux environment • Solid understanding of the development process including requirements, use cases, design, coding, documentation and testing of scalable, distributed applications in a high-performance computing environment • Strong ability to analyze, debug and maintain the integrity of an existing and evolving code base Security Clearance Statement: This position requires a government security clearance, you must be a US Citizen for consideration. Clearance Level: Secret Other Important Information You Should Know Expression of Interest: By applying to this job, you are expressing interest in this position and could be considered for other career opportunities where similar skills and requirements have been identified as a match. Should this match be identified you may be contacted for this and future openings. Ability to Work Remotely: Onsite Full-time: The work associated with this position will be performed onsite at a designated Lockheed Martin facility. Work Schedules: Lockheed Martin supports a variety of alternate work schedules that provide additional flexibility to our employees. Schedules range from standard 40 hours over a five day work week while others may be condensed. These condensed schedules provide employees with additional time away from the office and are in addition to our Paid Time off benefits. Lockheed Martin is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status. Join us at Lockheed Martin, where your mission is ours. Our customers tackle the hardest missions. Those that demand extraordinary amounts of courage, resilience and precision. They're dangerous. Critical. Sometimes they even provide an opportunity to change the world and save lives. Those are the missions we care about. As a leading technology innovation company, Lockheed Martin's vast team works with partners around the world to bring proven performance to our customers' toughest challenges. Lockheed Martin has employees based in many states throughout the U.S., and Internationally, with business locations in many nations and territories. Experience Level: Co-op/Summer Intern Business Unit: AERONAUTICS COMPANY Relocation Available: Housing Stipend Career Area: Software Engineering Type: Part-Time Shift: First",1383
47486,JPMorgan Chase & Co.,2023-03-17,Manager of Software Engineering- Mobile,"Software Developers, Applications",Hyderabad,Telangana,"Full-Time,Permanent",Bachelor's Degree,"External Description Str : As a Manager of Software Engineering with Consumer & Community Banking for Payments team, you lead multiple teams and manage day-to-day implementation activities by identifying and escalating issues and ensuring your team’s work adheres to compliance standards, business requirements, and tactical best practices. Job Responsibilities: - Lead and manage a team of mobile developers - Responsible for high quality deliverables. Participate in code review and project estimation - Executes standard software solutions, design, development, and technical troubleshooting - Writes secure and high-quality code using Java, MVVM, Kotlin and swift - Designs, develops, codes, and troubleshoots with consideration of upstream and downstream systems and technical implications - Learns and applies system processes, methodologies, and skills for the development of secure, stable code and systems - Adds to team culture of diversity, equity, inclusion, and respect Required qualifications, capabilities, and skills - 12+ years of experience designing and implementing applications on iOS or Android, preferable both - Experience working with API integration. Experience in Unit testing libraries like Mockito - Strong understanding of java and android ecosystem - Excellent understanding of all mobile UI fundamentals, from layout to animations - Understanding of architectural patterns such as MVP and MVVM - Understanding of application design patterns - Experience with the following is a plus: - Familiarity with Agile development including daily scrum and weekly iteration reviews and planning - Experience with Unit Testing frameworks - Android jetpack , Kotlin Coroutines, Swift UI, Compose <p",430
45318,Intel,2023-01-27,EDA Tools Software Engineer Intern,"Software Developers, Applications",Nashville,Tennessee,"Full-Time,Internship",Master's Degree,"Intel Posted Under: Nashville, Tennessee jobs in IT / Software / Systems; IT / Software / Systems jobs in zipcode 37250 Posted On: 2023-01-25 **Job Description**Join Intel-and build a better tomorrow. Intel is in the midst of an exciting transformation, with a vision to create and extend computing technology to connect and enrich the lives of every person on Earth. So join us-and help us create the next generation of technologies that will shape the future for decades to come.**About the group:**This is a EDA Tools Software Engineering position in the Custom Layout Team of the Process Design Kit (PDK) group, within the Design Enablement (DE) organization. Great opportunity for individuals who enjoy working in fast paced team environment with eagerness to learn.The custom layout team works closely with EDA suppliers to provide PDKs to customers on Intel's advanced process technologies.Important behavior traits we look for:+ Versatile team player+ Behavioral history with respect to quality+ Customer orientation+ Critical thinker with problem-solving skills.**About the role:**As a EDA Tools Software Engineer intern your responsibilities includes, but are not limited to:+ Develop and test Engineering Design Automation tools+ Create flows/scripts to analyze and test design methodologies+ Role involves writing efficient code in scripting languages to automatically translate Intel process technology rules and requirements into vendor specific technology library file formats.+ Identify and address custom layout technology file and tool gaps and help drive vendor tool updates.+ Deploy and test efficiency of tools in achieving design goals and collaborating with design teams on methodology development.+ Design Automation Engineers are advocates of applying design methodologies to help execute projects effectively and successfully with high quality.This is a 6 months internship.**Qualifications**You must possess the below requirements to be initially considered for this position. Preferred qualifications are in addition to the requirements and are considered a plus factor in identifying top candidates. Experience listed below would be obtained through a combination of your schoolwork and/or classes and/or research and/or relevant previous job and/or internship experiences.**Minimum Qualifications:**Candidate must be pursuing a Master of Science degree or PhD degree in Electrical Engineering, Computer Science, or Computer Engineering with 3+ months experience in the following areas:+ Cadence or Synopsys custom layout tool (VIRTUOSO-Custom Compiler).+ Layout design rule concepts.+ Programming languages such as Python or Ruby or TCL**Preferred Qualifications:**6+ months of experience in the following:+ Experience with Perl**Inside this Business Group**As the world's largest chip manufacturer, Intel strives to make every facet of semiconductor manufacturing state-of-the-art -- from semiconductor process development and manufacturing, through yield improvement to packaging, final test and optimization, and world class Supply Chain and facilities support. Employees in the Technology Development and Manufacturing Group are part of a worldwide network of design, development, manufacturing, and assembly/test facilities, all focused on utilizing the power of Moore's Law to bring smart, connected devices to every person on Earth.**Other Locations**US,TX,Austin;US,AZ,Phoenix;US,CA,Santa Clara**Covid Statement**Intel strongly encourages employees to be vaccinated against COVID-19. Intel aligns to federal, state, and local laws and as a contractor to the U.S. Government is subject to government mandates that may be issued. Intel policies for COVID-19 including guidance about testing and vaccination are subject to change over time.**Posting Statement**All qualified applicants will receive consideration for employment without regard to race, color, religion, religious creed, sex, national origin, ancestry, age, physical or mental disability, medical condition, genetic information, military and veteran status, marital status, pregnancy, gender, gender expression, gender identity, sexual orientation, or any other characteristic protected by local law, regulation, or ordinance.**Benefits**We offer a total compensation package that ranks among the best in the industry. It consists of competitive pay, stock, bonuses, as well as, benefit programs which include health, retirement, and vacation. Find more information about all of our Amazing Benefits here: https://www.intel.com/content/www/us/en/jobs/benefits.htmlAnnual Salary Range for jobs which could be performed in US, California: $63,000.00-$166,000.00*Salary range dependent on a number of factors including location and experience**Working Model**This role will be eligible for our hybrid work model which allows employees to split their time between working on-site at their assigned Intel site and off-site. **In certain circumstances the work model may change to accommodate business needs.** Apply for this job, view similar jobs, and more at ! Skills: software engineering programming languages perl ruby computer science python computer engineering agile methodologies c programming tcl eclipse software design mysql amazon web services (aws) subversion",1317
9389,Amazon,2022-09-05,"Front End Engineer (100% US Virtual), CloudWatch Logs","Software Developers, Applications",Unavailable,New York,"Full-Time,Permanent",Bachelor's Degree,"View transcript DESCRIPTION Job summary Location: US - Virtual *Come change the way the world sees the Cloud!* The CloudWatch Logs team builds and manages some of the largest logging systems in the world. CloudWatch Logs allows AWS users to ingest their application and AWS logs in a highly scalable, durable, and reliable service for enterprise scale; find and analyze the right log data to solve operational problems; generate metrics and alarms from their log events; or send log data to other downstream systems. Key job responsibilities On the Logs team you'll get to build critical monitoring services that impact every single AWS customer, both internally and externally - there's not many team's that can say that! About the team *Work/Life Balance* Our team puts a high value on work-life balance. We generally keep core hours from 9am to 5pm. People rarely come in or stay outside these hours. *On-Call Responsibility* This position involves on-call responsibilities, typically for one week every two months. We don't like getting paged in the middle of the night or on the weekend, so we work to ensure that our systems are fault tolerant. When we do get paged, we work together to resolve the root cause so that we don't get paged for the same issue twice. We care about your career growth. We try to assign projects and tasks based on what will help each team member develop into a better-rounded engineer and enable them to take on more complex tasks in the future. Here at AWS, we embrace our differences. We are committed to furthering our culture of inclusion. We have ten employee-led affinity groups, reaching 40,000 employees in over 190 chapters globally. We have innovative benefit offerings, and we host annual and ongoing learning experiences, including our Conversations on Race and Ethnicity (CORE) and AmazeCon (gender diversity) conferences. Amazon's culture of inclusion is reinforced within our 14 Leadership Principles, which remind team members to seek diverse perspectives, learn and be curious, and earn trust. BASIC QUALIFICATIONS - 3+ years of non-internship professional software development experience - Programming experience with at least one modern language such as Java, C++, or C# including object-oriented design - Skilled with common front-end technologies such as HTML, CSS, JS, TypeScript, and Node - Deep experience in one or more relevant front-end frameworks such as React. - 1+ years of experience contributing to the architecture and design (architecture, design patterns, reliability and scaling) of new and current systems. PREFERRED QUALIFICATIONS - Knowledge of professional software engineering practices & best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations - Experience in communicating with users, and other technical teams - Knowledge and experience with networking and virtualization are a plus The base pay range for this position is $143,700-213,800/ yr. Pay is based on market location and may vary depending on job-related knowledge, skills, and experience. A sign-on payment and restricted stock units may be provided as part of the compensation package, in addition to a full range of medical, financial, and/or other benefits, dependent on the position offered. Applicants should apply via Amazon's internal or external careers site. This information is provided per the Colorado Equal Pay Act, the Pay Transparency Regulation of Jersey City Municipal Code, the New York City Human Rights Law. Base pay information is based on market location. Applicants should apply via Amazon's internal or external careers site. Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us. Workers in New York City who perform in-person work or interact with the public in the course of business must show proof they have been fully vaccinated against COVID or request and receive approval for a reasonable accommodation, including medical or religious accommodation.",1100
38268,IBM,2023-03-01,EAI Developer-CIO Jobs in Bangalore - IBMLess,"Software Developers, Applications",Bangalore,Karnātaka,"Full-Time,Permanent",Bachelor's Degree,"Job Description Introduction Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run today - planes and trains take off on time, bank transactions complete in the blink of an eye and the world remains safe because of the work our software developers do. Whether you are working on projects internally or for a client, software development is critical to the success of IBM and our clients worldwide. At IBM, you will use the latest software development tools, techniques and approaches and work with leading minds in the industry to build solutions you can be proud of. Your Role and Responsibilities Developer is expected to design, develop maps, message flows and configure/develop adaptors. Also responsible for deploying integration components in development environments and providing supporting UAT and Production environments. They should have the following skills and knowledge. Responsibilities: You will be involved in integration of projects using IBM WebSphere Integrator Message Broker tool kit. Provide complete solution designs that consider cost, performance, scalability, reusability, and extensibility. Should have working experience with web services APIs SOAP/REST, JSON and Agile Methodology. Prepare Mapping Specification and Integration Design document. You will work with Business and Application teams to elaborate both Functional and non-functional requirement. Need to have hands on experience on Adopters. Document application requirements, technical specifications, use-cases, workflow processes. Should have working experience with web services APIs SOAP/REST, JSON and Agile Methodology. Provide proactive support by monitoring live interfaces and collaborating with experts to provide permanent resolutions to problems. Should have working Zos environment exposure and good trouble shooting skills. Required Technical and Professional Expertise MQ Series, MQIIB, ESQL, MVS, XML, DB2 IBM MQ V8 and up. Cluster environments and Non cluster Administrative: Queue Manager, Queues, Channels, Triggers Development: Scripts for channels, queues, triggers, etc. IBM Message Broker V8: Migration of flows to new versions. IBM Integration Bus V10, Administrative: Deploy of flows, Debug, Errors Development: Creation of flows, Debug, Support DB2 V8 and up Creation of queries (select, update, insert, delete, etc) MVS knowledge about console and commands Preferred Technical and Professional Expertise - XML, Agile development techniques, ability to work in a team environment with team members and IBM internal customers worldwide Job Particulars Role it software engineer Education BE/B.Tech Who can apply Freshers and Experienced (0 to 3 Years ) Hiring Process Face to Face Interview Employment Type 0 Job Id 1687741 Job Category IT/Software Locality Address State Karnataka Country India",729
53910,KPMG,2023-02-03,Sr. Associate – Niche SOA Developer - Remote,"Software Developers, Applications",McLean,Virginia,"Full-Time,Permanent",Bachelor's Degree,"Job_description : Business Sr. Associate – Niche SOA Developer - Remote Requisition Number: 98024 - 97 Function: Business Support Services Area of Interest: State: VA City: McLean Description: Known for being a great place to work and build a career, KPMG provides audit, tax and advisory services for organizations in today’s most important industries. Our growth is driven by delivering real results for our clients. It’s also enabled by our culture, which encourages individual development, embraces an inclusive environment, rewards innovative excellence and supports our communities. With qualities like those, it’s no wonder we’re consistently ranked among the best companies to work for by Fortune Magazine, Consulting Magazine, Working Mother Magazine, Diversity Inc. and others. If you’re as passionate about your future as we are, join our team. KPMG is currently seeking a Senior Developer to join our Digital Nexus Technology organization. This is a remote work opportunity. Responsibilities: - Provide day to day applications support applications support and administration including upgrades and release management - Work with project managers, cross-functional team during the planning and estimating efforts for new SaaS applications and provide agile and cost-effective solutions - Assist the implementation of SaaS applications and ensure quality delivery within agreed defect ratios working with cross-functional team - Support the Agile process throughout the complete life cycle; participate in daily scrum meetings and Agile development methodology - Ensure all the applications are aligned to KPMG Policy and Governance requirements Qualifications: - Minimum three years of recent experience implementing, admininstering and supporting Saas or COTS applications - Bachelor's degree from an accredited college or university is preferred - Strong working knowledge and experience with how SSO and API Integration work within SaaS applications - Detail-oriented and thorough, with effective time management skills and excellent technical writing and editing skills - Strong verbal/written communication, problem solving, analytical and independent judgment skills to support an environment driven by customer service and teamwork; ability to communicate effectively and to speak up both when managing upwards and downwards - Working knowledge of MS Projects preferred; ability to work independently creating project presentations using PowerPoint KPMG LLP (the U.S. member firm of KPMG International) offers a comprehensive compensation and benefits package. KPMG is an affirmative action-equal opportunity employer. KPMG complies with all applicable federal, state and local laws regarding recruitment and hiring. All qualified applicants are considered for employment without regard to race, color, religion, age, sex, sexual orientation, gender identity, national origin, citizenship status, disability, protected veteran status, or any other category protected by applicable federal, state or local laws. The attached link contains further information regarding the firm's compliance with federal, state and local recruitment and hiring laws. No phone calls or agencies please. KPMG does not currently require partners or employees to be fully vaccinated or test negative for COVID-19 in order to go to KPMG offices, client sites or KPMG events, except when mandated by federal, state or local law. In some circumstances, clients also may require proof of vaccination or testing (e.g., to go to the client site). GL: 5 GF: 15310",888
